neighborhood,price
אזורי חן,12472.727272727272
אפקה,7650.0
בית שטראוס,10916.666666666666
בצרון,8933.333333333334
גבעת הרצל,7400.0
גני צהלה,9300.0
דקר,6300.0
הגוש הגדול,11567.857142857143
הדר יוסף,8750.0
המשתלה,10766.666666666666
הצפון החדש החלק הדרומי,8700.0
הצפון החדש החלק הצפוני,6167.5
הצפון החדש סביבת ככר המדינה,7083.333333333333
הצפון הישן החלק הדרום מזרחי,8138.709677419355
הצפון הישן החלק הדרום מערבי,8863.333333333334
הצפון הישן החלק המרכזי,8507.98
הצפון הישן החלק הצפוני,7475.0
הקריה,11176.441176470587
התקווה,4627.777777777777
חוף הצוק,10050.0
יד אליהו,7196.153846153846
יפו ג,3450.0
יפו ד,4166.666666666667
כוכב הצפון,12566.666666666666
כפיר,5225.0
כרם התימנים,11078.947368421053
לב תל אביב החלק הדרומי,9750.0
לבנה,5950.0
לינקולן,5100.0
מונטיפיורי,6080.0
"מע""ר צפוני",10636.363636363636
מרכז יפו מזרחית לשדרות ירושלים,6600.0
נאות אפקה א,8583.333333333334
נאות אפקה ב,7700.0
נוה אביבים,10086.363636363636
נוה אליעזר,6400.0
נוה חן,6187.5
נוה שאנן,6294.444444444444
נוה שרת,6400.0
נחלת יצחק,8999.5
עג'מי,11587.5
עזרא,6500.0
פארק צמרת,12379.166666666666
פלורנטין,6875.806451612903
צהלון,8283.333333333334
צפון יפו,8825.0
קרית שלום,6795.0
רביבים,14040.0
רמת אביב,8500.0
רמת אביב ג,8275.0
רמת אביב החדשה,11166.6
רמת החייל,4266.666666666667
רמת הטייסים,2500.0
רמת ישראל,3500.0
שבזי,10888.888888888889
שיכון בבלי,6916.666666666667
שיכוני חסכון,8500.0
שפירא,6477.4375
תל ברוך צפון,9000.0
תל חיים,5500.0
תל כביר,6928.571428571428
